IdConfigZonaMapa,Agente,TopeCuenta,Ejercicio,Quincena
480.0,E004283,80.0,2022,10
483.0,E059097,150.0,2022,10
483.0,E003125,150.0,2022,10
483.0,E004480,150.0,2022,10
483.0,E003471,150.0,2022,10
487.0,E004055,120.0,2022,10
487.0,E003829,120.0,2022,10
487.0,E001889,120.0,2022,10
487.0,E003773,120.0,2022,10
488.0,E059108,80.0,2022,10
488.0,E003201,80.0,2022,10
488.0,E004002,80.0,2022,10
488.0,E003604,80.0,2022,10
492.0,E003175,80.0,2022,10
492.0,E002352,80.0,2022,10
492.0,E000772,80.0,2022,10
492.0,E000724,80.0,2022,10
496.0,E003429,80.0,2022,10
496.0,E062516,80.0,2022,10
495.0,E002283,120.0,2022,10
495.0,E001588,120.0,2022,10
495.0,E002874,120.0,2022,10
495.0,E002449,120.0,2022,10
495.0,E003426,120.0,2022,10
497.0,E002085,120.0,2022,10
497.0,E002751,120.0,2022,10
497.0,E003530,120.0,2022,10
501.0,E002225,120.0,2022,10
501.0,E059302,120.0,2022,10
501.0,E059504,120.0,2022,10
501.0,E002935,120.0,2022,10
504.0,E003870,120.0,2022,10
504.0,E003890,120.0,2022,10
505.0,E003673,80.0,2022,10
505.0,E003892,80.0,2022,10
505.0,E003784,80.0,2022,10
505.0,E003762,80.0,2022,10
49.0,E061086,70.0,2021,24
221.0,E001484,100.0,2022,7
221.0,E062280,100.0,2022,7
221.0,E002214,100.0,2022,7
221.0,E002713,100.0,2022,7
221.0,E000375,100.0,2022,7
244.0,E030050,100.0,2022,7
248.0,E061352,100.0,2022,7
248.0,E059346,100.0,2022,7
253.0,E003426,100.0,2022,7
342.0,E030050,70.0,2022,8
342.0,E059073,70.0,2022,8
355.0,E003118,100.0,2022,8
355.0,E001495,100.0,2022,8
354.0,E002332,100.0,2022,8
354.0,E002465,100.0,2022,8
354.0,E000533,100.0,2022,8
359.0,E001909,70.0,2022,8
359.0,E003068,70.0,2022,8
359.0,E002842,70.0,2022,8
360.0,E003647,70.0,2022,8
360.0,E052818,70.0,2022,8
360.0,E001680,70.0,2022,8
419.0,E003258,100.0,2022,9
505.0,E001702,80.0,2022,10
505.0,E059482,80.0,2022,10
505.0,E052442,80.0,2022,10
505.0,E040933,80.0,2022,10
505.0,E003968,80.0,2022,10
505.0,E001629,80.0,2022,10
505.0,E002488,80.0,2022,10
505.0,E000119,80.0,2022,10
505.0,E003758,80.0,2022,10
506.0,E002306,80.0,2022,10
506.0,E061086,80.0,2022,10
507.0,E053311,80.0,2022,10
508.0,E000790,80.0,2022,10
508.0,E061511,80.0,2022,10
508.0,E003573,80.0,2022,10
508.0,E001787,80.0,2022,10
508.0,E000838,80.0,2022,10
508.0,E001178,80.0,2022,10
508.0,E007335,80.0,2022,10
508.0,E056617,80.0,2022,10
489.0,E004429,120.0,2022,10
514.0,E001668,150.0,2022,11
515.0,E001912,120.0,2022,11
562.0,E004382,120.0,2022,11
475.0,E050859,150.0,2022,10
475.0,E003089,150.0,2022,10
513.0,E010480,150.0,2022,11
515.0,E002713,120.0,2022,11
515.0,E002153,120.0,2022,11
515.0,E000375,120.0,2022,11
515.0,E000258,120.0,2022,11
520.0,E001279,80.0,2022,11
520.0,E059529,80.0,2022,11
520.0,E002104,80.0,2022,11
553.0,E003429,80.0,2022,11
524.0,E062568,80.0,2022,11
528.0,E052916,150.0,2022,11
552.0,E000716,80.0,2022,11
525.0,E052442,80.0,2022,11
525.0,E001629,80.0,2022,11
525.0,E003968,80.0,2022,11
525.0,E002465,80.0,2022,11
525.0,E002488,80.0,2022,11
525.0,E000119,80.0,2022,11
526.0,E001909,80.0,2022,11
526.0,E003068,80.0,2022,11
527.0,E001787,80.0,2022,11
527.0,E003573,80.0,2022,11
559.0,E000049,120.0,2022,11
559.0,E060230,120.0,2022,11
527.0,E056617,80.0,2022,11
530.0,E053890,150.0,2022,11
535.0,E003118,120.0,2022,11
535.0,E054510,120.0,2022,11
535.0,E005699,120.0,2022,11
541.0,E002306,80.0,2022,11
541.0,E061086,80.0,2022,11
543.0,E053311,80.0,2022,11
522.0,E004551,120.0,2022,11
544.0,E004283,80.0,2022,11
561.0,E003175,80.0,2022,11
544.0,E001680,80.0,2022,11
547.0,E004055,120.0,2022,11
547.0,E003829,120.0,2022,11
547.0,E001889,120.0,2022,11
547.0,E003773,120.0,2022,11
548.0,E004209,120.0,2022,11
548.0,E052508,120.0,2022,11
525.0,E004513,80.0,2022,11
525.0,E004558,80.0,2022,11
552.0,E004360,80.0,2022,11
553.0,E062516,80.0,2022,11
528.0,E004189,150.0,2022,11
528.0,E060993,150.0,2022,11
528.0,E004126,150.0,2022,11
527.0,E000964,80.0,2022,11
529.0,E001073,120.0,2022,11
529.0,E004136,120.0,2022,11
529.0,E000340,120.0,2022,11
529.0,E001288,120.0,2022,11
529.0,E002498,120.0,2022,11
529.0,E001475,120.0,2022,11
529.0,E001472,120.0,2022,11
558.0,E002639,120.0,2022,11
558.0,E002607,120.0,2022,11
558.0,E002921,120.0,2022,11
558.0,E061518,120.0,2022,11
558.0,E001393,120.0,2022,11
558.0,E002916,120.0,2022,11
558.0,E041528,120.0,2022,11
558.0,E061603,120.0,2022,11
558.0,E056953,120.0,2022,11
558.0,E062299,120.0,2022,11
558.0,E057121,120.0,2022,11
558.0,E001723,120.0,2022,11
532.0,E003111,120.0,2022,11
559.0,E002773,120.0,2022,11
559.0,E002905,120.0,2022,11
559.0,E059610,120.0,2022,11
559.0,E001650,120.0,2022,11
559.0,E014423,120.0,2022,11
559.0,E052129,120.0,2022,11
561.0,E002768,80.0,2022,11
561.0,E002352,80.0,2022,11
561.0,E000772,80.0,2022,11
561.0,E000724,80.0,2022,11
531.0,E054609,120.0,2022,11
531.0,E003650,120.0,2022,11
531.0,E052818,120.0,2022,11
531.0,E003647,120.0,2022,11
531.0,E049566,120.0,2022,11
537.0,E002225,120.0,2022,11
537.0,E059302,120.0,2022,11
537.0,E002935,120.0,2022,11
537.0,E059504,120.0,2022,11
539.0,E003870,120.0,2022,11
545.0,E059097,150.0,2022,11
545.0,E003125,150.0,2022,11
545.0,E003471,150.0,2022,11
545.0,E004480,150.0,2022,11
557.0,E003089,150.0,2022,11
557.0,E050859,150.0,2022,11
540.0,E003818,80.0,2022,11
540.0,E002512,80.0,2022,11
540.0,E002098,80.0,2022,11
613.0,E003792,121.0,2022,13
613.0,E030050,120.0,2022,13
614.0,E004506,150.0,2022,13
614.0,E059529,150.0,2022,13
614.0,E000258,150.0,2022,13
614.0,E002713,150.0,2022,13
615.0,E004995,150.0,2022,13
616.0,E003471,150.0,2022,13
618.0,E058710,150.0,2022,13
618.0,E002488,150.0,2022,13
618.0,E000119,150.0,2022,13
618.0,E040933,150.0,2022,13
618.0,E059482,150.0,2022,13
620.0,E003829,120.0,2022,13
620.0,E001889,120.0,2022,13
620.0,E003773,120.0,2022,13
627.0,E004385,120.0,2022,13
627.0,E000340,120.0,2022,13
627.0,E004443,120.0,2022,13
627.0,E004562,120.0,2022,13
627.0,E004507,120.0,2022,13
628.0,E004360,80.0,2022,13
628.0,E000716,80.0,2022,13
626.0,E000640,120.0,2022,13
626.0,E055309,120.0,2022,13
626.0,E002123,120.0,2022,13
626.0,E027690,120.0,2022,13
626.0,E004275,120.0,2022,13
626.0,E000372,120.0,2022,13
626.0,E059464,120.0,2022,13
626.0,E004469,120.0,2022,13
626.0,E000706,120.0,2022,13
626.0,E000536,120.0,2022,13
626.0,E003285,120.0,2022,13
626.0,E004451,120.0,2022,13
626.0,E004312,120.0,2022,13
626.0,E060191,120.0,2022,13
626.0,E002417,120.0,2022,13
626.0,E003629,120.0,2022,13
626.0,E004914,120.0,2022,13
626.0,E000790,120.0,2022,13
626.0,E003094,120.0,2022,13
626.0,E000579,120.0,2022,13
626.0,E055602,120.0,2022,13
626.0,E000533,120.0,2022,13
631.0,E003818,80.0,2022,13
631.0,E002098,80.0,2022,13
636.0,E059073,120.0,2022,13
637.0,E053890,150.0,2022,13
639.0,E052818,120.0,2022,13
639.0,E003647,120.0,2022,13
639.0,E054609,120.0,2022,13
639.0,E005699,120.0,2022,13
639.0,E054510,120.0,2022,13
645.0,E053311,80.0,2022,13
645.0,E059302,80.0,2022,13
644.0,E004283,80.0,2022,13
647.0,E003784,80.0,2022,13
647.0,E003573,80.0,2022,13
